id,type,title,url,slug,words,h1_count,h2_count,h3_count,images,internal_links,faq_count,date,modified,heading_fingerprint,problem_categories,notes
10292,post,تنظيف فلل بالباحة | خدمات احترافية من ركن التطور 2026,https://www.rukn-eltatawer.com/sa/villa-cleaning-al-baha/,villa-cleaning-al-baha,2236,0,14,17,0,34,5,2026-08-14,2026-09-11,0690f7aba0d695b5|n=12,errors_missing,لا صور داخل المحتوى
9333,post,كشف تسربات المياه بالخفجي,https://www.rukn-eltatawer.com/sa/water-leak-detection-khafji/,water-leak-detection-khafji,8252,0,28,170,0,198,0,2026-02-10,2026-09-09,0c0f9dbe4786a362|n=12,errors_missing,لا صور داخل المحتوى
9287,post,كشف تسربات المياه في مكة,https://www.rukn-eltatawer.com/sa/water-leak-detection-makkah-center/,water-leak-detection-makkah-center,2081,0,5,13,0,18,0,2026-02-10,2026-09-09,90e5257e05a42491|n=5,errors_missing,لا صور داخل المحتوى
